Art,Rahmen,Gesamtmenge,Dauer,Zeit
Frühstück,Arbeit,wenig,30,"09:00"
Mittagessen,Imbiss,mittel,25,12:30
Snack,Daheim,viel,10, 10:45
Snack,Imbiss,mittel,10,18:00
Abendessen,Daheim,viel,30,20:30
Snack,Daheim,wenig,5,09:45
Frühstück,Daheim,mittel,45,07:00
Mittagessen,Arbeit,wenig,30,13:00
Snack,Imbiss,mittel,5,14:45
Abendessen,Daheim,viel,30,19:30
Frühstück,Daheim,mittel,40,08:45
Mittagessen,Arbeit,viel,45,12:30
Snack,Imbiss,mittel,20,14:40
Abendessen,Daheim,viel,30,20:35
Frühstück,Daheim,mittel,20,09:00
Frühstück,Daheim,mittel,10,08:30
Frühstück,Imbiss,wenig,25,10:45
Frühstück,Daheim,viel,45,09:30
Abendessen,Daheim,viel,30,20:15
Abendessen,Imbiss,wenig,15,19:45
Abendessen,Daheim,mittel,45,19:30
Snack,Imbiss,mittel,5,15:45
Snack,Daheim,wenig,5,16:00
Snack,Arbeit,viel,15,14:30
Snack,Arbeit,mittel,10,15:00
Mittagessen,Arbeit,viel,30,12:00
Mittagessen,Daheim,wenig,20,12:30
Mittagessen,Daheim,viel,30,13:15
Mittagessen,Arbeit,wenig,15,14:00
Snack,Arbeit,mittel,30,11:30
Snack,Imbiss,viel,5,14:00
Snack,Daheim,wenig,30,23:00
Snack,Daheim,mittel,40,21:45
Mittagessen,Arbeit,wenig,45,12:00
Mittagessen,Imbiss,mittel,20,13:00
Mittagessen,Daheim,viel,30,14:30
Mittagessen,Arbeit,mittel,20,13:45